org_name,students,adopted_budget_2425,budget_per_student
J Q ADAMS ELEMENTARY,502,3004060,5984.183267
PREK PARTNERSHIP CENTER,1185,11359500,9586.075949
GABE P ALLEN NEW TECH ACADEMY,399,3191381,7998.448622
WILLIAM ANDERSON ELEMENTARY,520,4246062,8165.503846
ARCADIA PARK ELEMENTARY,606,4536019,7485.179868
JOSE JOE MAY ELEMENTARY SCHOOL,752,4994316,6641.37766
BAYLES ELEMENTARY,391,3325605,8505.383632
BLAIR ELEMENTARY,404,3120860,7724.90099
BLANTON ELEMENTARY,597,5476318,9173.061977
BOWIE ELEMENTARY,332,3009520,9064.819277
BRYAN ELEMENTARY,376,3655450,9721.941489
HARRELL BUDD ELEMENTARY,454,3351136,7381.356828
BURNET ELEMENTARY,623,5096760,8180.995185
BURLESON ELEMENTARY,453,4359751,9624.174393
ALBERT C BLACK JR STEAM ACADEMY,340,5750666,16913.72353
CHAPEL HILL PREPARATORY,417,3144696,7541.23741
CAILLET ELEMENTARY,582,4407838,7573.604811
CARPENTER ELEMENTARY,209,2098209,10039.27751
CARR ELEMENTARY,282,3003293,10649.97518
CASA VIEW ELEMENTARY,614,4317602,7031.925081
CENTRAL ELEMENTARY,528,4253420,8055.719697
DR MARTIN LUTHER KING JR ARTS ACADEMY,426,5041948,11835.55869
CONNER ELEMENTARY,619,4074513,6582.411955
COWART ELEMENTARY,547,4420983,8082.235832
ZARAGOZA ELEMENTARY,309,2747043,8890.106796
JORDAN ELEMENTARY,445,3759204,8447.649438
DEGOLYER ELEMENTARY,363,3269582,9007.112948
DONALD ELEMENTARY,335,3106504,9273.146269
JULIUS DORSEY LEADERSHIP ACADEMY,394,3377652,8572.720812
DUNBAR ELEMENTARY,497,4754375,9566.146881
JILL STONE ELEMENTARY AT VICKERY MEADOW,399,3496717,8763.701754
ERVIN ELEMENTARY,629,5386919,8564.259141
FOSTER ELEMENTARY,673,4690037,6968.851412
GILL ELEMENTARY,616,4507166,7316.827922
