District,Campus,Region,County,Type,grades_served,Students,perc_ed,perc_eb_el,overall_score,student_ach_score,school_prog_score,academic_growth_score,relative_perf_score,closing_gap_score,Grant,enroll_type
CARROLLTON-FARMERS BRANCH ISD,TURNER H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"2,089",67.2%,39.4%,81,82,84,70,84,74,,ZONED SCHOOL-TRANSFERS ACCEPTED
CARROLLTON-FARMERS BRANCH ISD,SMITH H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"2,033",66.6%,32.5%,79,80,81,79,81,74,,ZONED SCHOOL-TRANSFERS ACCEPTED
CARROLLTON-FARMERS BRANCH ISD,GRIMES EDUCATION CENTER,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,65,49.2%,26.2%,82,86,        .,        .,        .,73,,SELECTIVE ENROL SCHL-CRITERIA-BASED
CARROLLTON-FARMERS BRANCH ISD,SALAZAR DISTRICT ALTERNATIVE EDUCATION PROGRAM,REGION 10: RICHARDSON,DALLAS,Elem/Secondary,06 - 12,42,73.8%,31.0%,        .,        .,        .,        .,        .,        .,,SPECIAL ASSIGNMENT SCHOOL
CARROLLTON-FARMERS BRANCH ISD,CREEKVIEW H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,690",53.0%,19.0%,87,88,88,83,88,84,,ZONED SCHOOL-TRANSFERS ACCEPTED
CARROLLTON-FARMERS BRANCH ISD,RANCHVIEW H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,948,49.5%,9.8%,83,85,84,73,84,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
CARROLLTON-FARMERS BRANCH ISD,EARLY COLLEGE H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,335,76.4%,18.8%,94,97,96,95,96,88,,SELECTIVE ENROL SCHL-CRITERIA-BASED
CARROLLTON-FARMERS BRANCH ISD,HUIE SPECIAL EDUC CTR,REGION 10: RICHARDSON,DALLAS,High School,12 - 12,47,34.0%,0.0%,        .,        .,        .,        .,        .,        .,,SELECTIVE ENROL SCHL-CRITERIA-BASED
CEDAR HILL ISD,CEDAR HILL H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"2,277",63.5%,4.8%,67,68,64,58,64,63,,COMBINED ENROLLMENT TYPE SCHOOL
CEDAR HILL ISD,CEDAR HILL COLLEGIATE H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,348,45.4%,5.7%,98,97,95,92,95,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,BRYAN ADAMS H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"2,208",82.2%,52.9%,81,81,85,85,83,77,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,W H ADAMSON H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,497",96.2%,61.4%,82,77,83,79,83,73,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,NEW TECH H S AT B F DARRELL H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,368,81.5%,35.1%,86,85,91,91,84,85,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,MOISES E MOLINA H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"2,131",89.3%,47.3%,77,74,79,75,79,72,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,HILLCREST H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,660",70.1%,47.5%,82,79,87,81,87,76,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,THOMAS JEFFERSON H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,461",90.9%,74.3%,80,70,84,84,81,73,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,JUSTIN F KIMBALL H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,315",86.3%,51.4%,73,71,80,63,80,68,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,665,90.1%,19.4%,74,69,76,57,76,68,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,L G PINKSTON H S,REGION 10: RICHARDSON,DALLAS,High School,07 - 12,"1,339",92.7%,45.1%,77,67,77,76,77,71,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,FRANKLIN D ROOSEVELT H S OF INNOVATION,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,741,95.1%,37.9%,63,59,63,51,63,63,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,W W SAMUELL H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,875",92.7%,58.3%,66,62,68,68,68,60,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,SEAGOVILLE H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,723",88.1%,51.1%,74,70,80,55,80,70,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,SOUTH OAK CLIFF H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,413",96.7%,25.9%,69,63,70,69,70,66,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,H GRADY SPRUCE H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,631",92.9%,58.1%,62,59,63,62,63,60,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,SUNSET H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"2,159",82.6%,47.3%,81,74,83,83,81,74,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,W T WHITE H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"2,089",73.7%,54.5%,73,67,79,79,76,67,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,WOODROW WILSON H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,896",53.4%,28.4%,78,84,85,83,85,83,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,DAVID W CARTER H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,129",91.1%,21.2%,70,61,78,78,65,62,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,NORTH DALLAS H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,202",87.0%,43.6%,79,73,83,83,80,68,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,SKYLINE H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"4,264",73.3%,42.7%,72,70,75,68,75,68,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,SCHOOL OF SCIENCE AND ENGINEERING,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,501,51.1%,10.0%,95,99,98,        .,98,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,EMMETT J CONRAD H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,"1,310",92.2%,64.4%,85,76,88,88,85,77,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,BARBARA M MANNS H S DAEP,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,141,77.3%,29.8%,        .,        .,        .,        .,        .,        .,,SPECIAL ASSIGNMENT SCHOOL
DALLAS ISD,JAMES MADISON H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,416,95.7%,32.2%,74,66,75,75,72,73,,COMBINED ENROLLMENT TYPE SCHOOL
DALLAS ISD,SCHOOL OF BUSINESS AND MANAGEMENT,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,484,73.1%,12.4%,93,96,94,92,94,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,BOOKER T WASHINGTON SPVA MAGNET,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,949,28.5%,6.2%,89,95,91,83,91,87,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,REGION 10: RICHARDSON,DALLAS,Elem/Secondary,06 - 12,592,70.8%,30.2%,95,98,98,90,98,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,SCHOOL OF HEALTH PROFESSIONS,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,488,70.5%,11.7%,95,97,96,91,96,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,213,63.8%,15.0%,89,96,95,95,95,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,JUDGE BAREFOOT SANDERS LAW MAGNET,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,468,73.3%,10.7%,95,97,96,83,96,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,SCHOOL FOR THE TALENTED AND GIFTED,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,502,38.4%,4.4%,97,99,99,96,99,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,353,69.7%,28.3%,94,97,95,93,95,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,429,87.9%,30.5%,94,98,97,86,97,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,REGION 10: RICHARDSON,DALLAS,High School,09 - 12,261,79.7%,30.7%,95,98,97,85,97,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,HOSPITAL/HOMEBOUND,REGION 10: RICHARDSON,DALLAS,Elem/Secondary,KG - 12,54,29.6%,3.7%,        .,        .,        .,        .,        .,        .,,SELECTIVE ENROL SCHL-CRITERIA-BASED
