org_number,org_name,adopted_budget_2425,proposed_budget_2526,budget_change,adopted_fte_2425,proposed_fte_2526,fte_change
101,J Q ADAMS ELEMENTARY,3004060,3639328,635268,41.5,49.5,8.0
102,PREK PARTNERSHIP CENTER,11359500,11684935,325435,146.0,144.0,-2.0
103,GABE P ALLEN NEW TECH ACADEMY,3191381,3724274,532893,45.0,51.5,6.5
104,WILLIAM ANDERSON ELEMENTARY,4246062,4149945,-96117,59.0,55.5,-3.5
105,ARCADIA PARK ELEMENTARY,4536019,4571067,35048,60.0,58.0,-2.0
107,JOSE JOE MAY ELEMENTARY SCHOOL,4994316,5006303,11987,72.0,69.0,-3.0
108,BAYLES ELEMENTARY,3325605,3396838,71233,47.0,46.5,-0.5
109,BLAIR ELEMENTARY,3120860,3368565,247705,43.5,45.5,2.0
110,BLANTON ELEMENTARY,5476318,5735136,258818,75.5,73.0,-2.5
112,BOWIE ELEMENTARY,3009520,3038263,28743,40.5,37.5,-3.0
114,BRYAN ELEMENTARY,3655450,3770655,115205,53.0,51.5,-1.5
115,HARRELL BUDD ELEMENTARY,3351136,3537184,186048,47.5,48.5,1.0
116,BURNET ELEMENTARY,5096760,5211615,114855,69.0,68.0,-1.0
117,BURLESON ELEMENTARY,4359751,3894666,-465085,57.5,47.5,-10.0
118,ALBERT C BLACK JR STEAM ACADEMY,5750666,5463705,-286961,79.0,71.0,-8.0
119,CHAPEL HILL PREPARATORY,3144696,3356130,211434,45.3,45.8,0.5
120,CAILLET ELEMENTARY,4407838,4201322,-206516,58.9,53.9,-5.0
121,CARPENTER ELEMENTARY,2098209,2606445,508236,29.0,35.5,6.5
122,CARR ELEMENTARY,3003293,2668262,-335031,41.1,34.0,-7.1
125,CASA VIEW ELEMENTARY,4317602,4614137,296535,60.0,61.0,1.0
126,CENTRAL ELEMENTARY,4253420,4598497,345077,57.5,62.0,4.5
128,DR MARTIN LUTHER KING JR ARTS ACADEMY,5041948,4662977,-378971,68.5,61.5,-7.0
129,CONNER ELEMENTARY,4074513,3972611,-101902,56.0,50.5,-5.5
130,COWART ELEMENTARY,4420983,4216743,-204240,66.5,59.0,-7.5
131,ZARAGOZA ELEMENTARY,2747043,3305049,558006,38.0,46.5,8.5
133,JORDAN ELEMENTARY,3759204,3997144,237940,53.0,53.5,0.5
135,DEGOLYER ELEMENTARY,3269582,3658019,388437,44.8,48.3,3.5
136,DONALD ELEMENTARY,3106504,2810808,-295696,42.5,38.0,-4.5
137,JULIUS DORSEY LEADERSHIP ACADEMY,3377652,3451861,74209,46.5,44.0,-2.5
139,DUNBAR ELEMENTARY,4754375,4647956,-106419,66.0,60.0,-6.0
141,JILL STONE ELEMENTARY AT VICKERY MEADOW,3496717,3775169,278452,49.0,50.0,1.0
142,ERVIN ELEMENTARY,5386919,5400061,13142,76.0,74.5,-1.5
145,FOSTER ELEMENTARY,4690037,4265765,-424272,66.5,56.5,-10.0
147,GILL ELEMENTARY,4507166,4892931,385765,65.2,66.2,1.0
148,GOOCH ELEMENTARY,3004798,3290108,285310,43.2,45.7,2.5
149,HALL PERSONALIZED LEARNING ACADEMY AT OAK CLIFF,3509492,3325790,-183702,48.5,45.0,-3.5
152,HENDERSON ELEMENTARY,3021602,3010324,-11278,40.4,38.4,-2.0
153,HEXTER ELEMENTARY,3839143,4080872,241729,51.4,53.4,2.0
154,LARRY SMITH ELEMENTARY,5131681,5670991,539310,71.9,75.9,4.0
155,C A TATUM JR ELEMENTARY,3263077,3671089,408012,46.0,49.5,3.5
156,HAWTHORNE ELEMENTARY,3692897,4071051,378154,52.0,55.0,3.0
157,HOGG NEW TECH CENTER,2906443,2982277,75834,41.0,41.5,0.5
158,HOOE ELEMENTARY,2841754,3079935,238181,41.0,42.5,1.5
159,HOTCHKISS ELEMENTARY,4614663,4161203,-453460,66.7,57.2,-9.5
160,PERSONALIZED LEARNING PREPARATORY AT SAM HOUSTON,2439575,4220096,1780521,33.5,56.0,22.5
161,SYLVIA MENDEZ CREW LEADERSHIP ACADEMY,3719298,4035959,316661,53.0,55.5,2.5
162,MOCKINGBIRD ELEMENTARY SCHOOL,4511939,4455317,-56622,57.0,55.0,-2.0
163,CEDAR CREST ELEMENTARY SCHOOL,4021717,4632181,610464,58.0,61.5,3.5
164,JONES ELEMENTARY,4069653,4143525,73872,55.0,53.5,-1.5
166,KIEST ELEMENTARY,4061008,4879342,818334,57.7,65.2,7.5
167,KLEBERG ELEMENTARY,5606482,5767535,161053,79.0,78.0,-1.0
168,KNIGHT ELEMENTARY,2835984,2705355,-130629,41.0,37.5,-3.5
169,KRAMER ELEMENTARY,3804884,3969320,164436,51.8,52.8,1.0
170,LAGOW ELEMENTARY,3735832,3847940,112108,54.0,53.0,-1.0
171,LAKEWOOD ELEMENTARY,6756171,7785165,1028994,87.5,101.0,13.5
172,J T BRASHEAR ELEMENTARY,4274330,4281897,7567,57.5,56.0,-1.5
174,GENEVA HEIGHTS ELEMENTARY SCHOOL,3751493,3619087,-132406,52.0,49.5,-2.5
175,U LEE ELEMENTARY,4326586,4225556,-101030,60.0,54.5,-5.5
176,JACK LOWE SR ELEMENTARY,4227077,4627934,400857,54.4,58.4,4.0
177,LIPSCOMB ELEMENTARY,3444680,3454521,9841,47.0,47.5,0.5
