Rank,MSA,Total Score ,Educational Attainment Rank ,Quality of Education and Attainment Gap Rank 
1,"Ann Arbor, MI",93.49,1,4
2,"Durham-Chapel Hill, NC",84.87,6,1
3,"Madison, WI",82.07,2,49
4,"San Jose-Sunnyvale-Santa Clara, CA",81.82,5,16
5,"Washington-Arlington-Alexandria, DC-VA-MD-WV",81.42,3,35
6,"Raleigh-Cary, NC",80.41,4,27
7,"San Francisco-Oakland-Berkeley, CA",80.22,7,19
8,"Austin-Round Rock-Georgetown, TX",79.51,9,6
9,"Seattle-Tacoma-Bellevue, WA",78.92,10,11
10,"Boston-Cambridge-Newton, MA-NH",77.99,8,66
11,"Denver-Aurora-Lakewood, CO",74.57,11,86
12,"Colorado Springs, CO",74.07,16,23
13,"Portland-South Portland, ME",73.81,13,67
14,"Provo-Orem, UT",73.39,17,20
15,"Huntsville, AL",72.01,22,8
16,"Portland-Vancouver-Hillsboro, OR-WA",71.43,21,22
17,"Bridgeport-Stamford-Norwalk, CT",71.39,12,142
18,"Minneapolis-St. Paul-Bloomington, MN-WI",70.03,15,103
19,"Baltimore-Columbia-Towson, MD",69.9,14,109
20,"Trenton-Princeton, NJ",69.82,19,63
21,"Albany-Schenectady-Troy, NY",69.76,18,77
22,"Tallahassee, FL",68.79,25,21
23,"San Diego-Chula Vista-Carlsbad, CA",68.64,27,13
24,"Lexington-Fayette, KY",68.23,24,50
25,"Hartford-East Hartford-Middletown, CT",67.31,20,121
26,"New York-Newark-Jersey City, NY-NJ-PA",66.41,30,24
27,"New Haven-Milford, CT",66.31,23,113
28,"Asheville, NC",66.17,29,53
29,"Atlanta-Sandy Springs-Alpharetta, GA",66.01,32,26
30,"Lansing-East Lansing, MI",65.14,26,76
31,"Urban Honolulu, HI",64.58,45,10
32,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",64.46,28,81
33,"Chicago-Naperville-Elgin, IL-IN-WI",64.38,38,36
34,"Eugene-Springfield, OR",63.62,52,12
35,"Charleston-North Charleston, SC",63.1,35,82
36,"Richmond, VA",62.79,33,93
37,"Rochester, NY",62.49,34,91
38,"Pittsburgh, PA",62.26,43,43
39,"Manchester-Nashua, NH",62.23,31,124
40,"Salt Lake City, UT",62.15,48,29
41,"Omaha-Council Bluffs, NE-IA",62.09,37,92
42,"Worcester, MA-CT",61.97,40,71
43,"Tucson, AZ",61.82,47,41
44,"Virginia Beach-Norfolk-Newport News, VA-NC",61.63,55,25
45,"Kansas City, MO-KS",61.34,36,114
46,"St. Louis, MO-IL",61.05,39,127
47,"Charlotte-Concord-Gastonia, NC-SC",60.9,56,31
48,"Nashville-Davidson--Murfreesboro--Franklin, TN",60.77,50,58
49,"Columbus, OH",60.58,44,95
50,"Naples-Marco Island, FL",59.84,42,117
51,"Sacramento-Roseville-Folsom, CA",59.54,58,34
52,"Boise City, ID",59.13,57,59
53,"North Port-Sarasota-Bradenton, FL",58.7,41,138
54,"Orlando-Kissimmee-Sanford, FL",58.13,73,17
55,"Cincinnati, OH-KY-IN",57.91,59,68
56,"Milwaukee-Waukesha, WI",57.86,51,134
57,"Des Moines-West Des Moines, IA",57.85,46,133
58,"Santa Rosa-Petaluma, CA",57.58,54,118
59,"Buffalo-Cheektowaga, NY",57.5,49,131
60,"Columbia, SC",57.33,65,79
